Liste 1	Liste 2	Liste 3
1000,018304	1000,0016	999,26
999,973275	999,983209	999,52
1000,047077	999,97832	999,57
999,966922	999,953404	999,43
1000,02655	1000,005062	999,34
1000,007638	999,978002	999,29
1000,014518	999,927671	999,40
999,935734	999,962418	999,40
1000,006614	999,97279	999,42
999,936575	999,9588	999,30
999,963766	1000,000224	999,38
999,918225	999,982193	999,16
1000,050684	1000,002109	999,43
1000,064897	999,998872	999,44
1000,028155	999,987181	999,22
		
		
		
